league,season,fixture_id,date,venue,referee,home_team,away_team,home_goals,away_goals,status,home_shots_on_target,away_shots_on_target,home_shots_total,away_shots_total,home_possession,away_possession,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_passes,away_passes,home_pass_accuracy,away_pass_accuracy,goal_diff,result,total_goals,home_win,draw,away_win,home_total_cards,away_total_cards,total_cards,card_diff,possession_diff,pass_accuracy_diff,shot_diff,shots_on_target_diff,passes_diff,home_shot_efficiency,away_shot_efficiency,shot_efficiency_diff,big_team_home,big_team_away,big_team_match
La Liga,2019,214023,2019-08-17 15:00:00+00:00,Abanca-Balaídos,Javier Estrada,Celta Vigo,Real Madrid,1,3,FT,4.0,11.0,7.0,17.0,56.0,44.0,6.0,2.0,0.0,1.0,522.0,416.0,89.0,84.0,-2,A,4,0,0,1,6.0,3.0,9.0,3.0,12.0,5.0,-10.0,-7.0,106.0,0.14285714285714285,0.17647058823529413,-0.03361344537815128,0,1,0
La Liga,2019,214024,2019-08-17 17:00:00+00:00,Estadio de Mestalla,Jesús Gil,Valencia,Real Sociedad,1,1,FT,6.0,3.0,14.0,12.0,36.0,64.0,4.0,4.0,1.0,0.0,366.0,619.0,82.0,88.0,0,D,2,0,1,0,5.0,4.0,9.0,1.0,-28.0,-6.0,2.0,3.0,-253.0,0.07142857142857142,0.08333333333333333,-0.011904761904761904,1,0,0
La Liga,2019,214025,2019-08-17 19:00:00+00:00,Estadio Municipal de Butarque,Javier Alberola,Leganes,Osasuna,0,1,FT,2.0,2.0,13.0,4.0,51.0,49.0,1.0,4.0,1.0,0.0,333.0,332.0,69.0,69.0,-1,A,1,0,0,1,2.0,4.0,6.0,-2.0,2.0,0.0,9.0,0.0,1.0,0.0,0.25,-0.25,0,0,0
La Liga,2019,214031,2019-08-18 19:00:00+00:00,Estadio Benito Villamarín,Santiago Jaime,Real Betis,Valladolid,1,2,FT,4.0,3.0,13.0,14.0,47.0,53.0,2.0,6.0,1.0,0.0,378.0,421.0,84.0,85.0,-1,A,3,0,0,1,3.0,6.0,9.0,-3.0,-6.0,-1.0,-1.0,1.0,-43.0,0.07692307692307693,0.14285714285714285,-0.06593406593406592,0,0,0
La Liga,2019,214029,2019-08-18 20:00:00+00:00,Estadio Wanda Metropolitano,Guillermo Cuadra,Atletico Madrid,Getafe,1,0,FT,5.0,0.0,5.0,6.0,57.0,43.0,3.0,4.0,1.0,1.0,421.0,290.0,82.0,76.0,1,H,1,1,0,0,4.0,5.0,9.0,-1.0,14.0,6.0,-1.0,5.0,131.0,0.2,0.0,0.2,1,0,0
La Liga,2019,214051,2019-09-01 19:00:00+00:00,Estadio de la Cerámica,Jesús Gil,Villarreal,Real Madrid,2,2,FT,5.0,5.0,10.0,17.0,43.0,57.0,1.0,4.0,0.0,1.0,438.0,551.0,81.0,89.0,0,D,4,0,1,0,1.0,5.0,6.0,-4.0,-14.0,-8.0,-7.0,0.0,-113.0,0.2,0.11764705882352941,0.0823529411764706,0,1,0
La Liga,2019,214056,2019-09-15 10:00:00+00:00,Estadio Municipal de Ipurúa,Valentín Pizarro,Eibar,Espanyol,1,2,FT,1.0,2.0,11.0,7.0,58.0,42.0,2.0,4.0,0.0,1.0,382.0,291.0,68.0,56.0,-1,A,3,0,0,1,2.0,5.0,7.0,-3.0,16.0,12.0,4.0,-1.0,91.0,0.09090909090909091,0.2857142857142857,-0.1948051948051948,0,0,0
La Liga,2019,214055,2019-09-15 14:00:00+00:00,Abanca-Balaídos,Eduardo Prieto,Celta Vigo,Granada CF,0,2,FT,0.0,3.0,4.0,13.0,37.0,63.0,4.0,2.0,2.0,0.0,291.0,479.0,80.0,89.0,-2,A,2,0,0,1,6.0,2.0,8.0,4.0,-26.0,-9.0,-9.0,-3.0,-188.0,0.0,0.15384615384615385,-0.15384615384615385,0,0,0
La Liga,2019,214054,2019-09-15 19:00:00+00:00,Estadio Benito Villamarín,José González,Real Betis,Getafe,1,1,FT,2.0,4.0,7.0,12.0,61.0,39.0,3.0,6.0,2.0,0.0,394.0,238.0,81.0,65.0,0,D,2,0,1,0,5.0,6.0,11.0,-1.0,22.0,16.0,-5.0,-2.0,156.0,0.14285714285714285,0.08333333333333333,0.05952380952380952,0,0,0
La Liga,2019,214077,2019-09-25 17:00:00+00:00,Iberostar Estadi,Alejandro Hernández,Mallorca,Atletico Madrid,0,2,FT,3.0,3.0,9.0,13.0,48.0,52.0,3.0,5.0,0.0,1.0,447.0,490.0,81.0,84.0,-2,A,2,0,0,1,3.0,6.0,9.0,-3.0,-4.0,-3.0,-4.0,0.0,-43.0,0.0,0.15384615384615385,-0.15384615384615385,0,1,0
